Date,Unit,DayOfWeek,IsHoliday,HolidayName,HolidayType,SurgeriesPerDay,PatientsPerDay,LinenUsage
06/12/2022,OR,Tuesday,FALSE,,,20,20,352
06/12/2022,MedSurg,Tuesday,FALSE,,,0,58,189
06/12/2022,ICU,Tuesday,FALSE,,,0,11,53
06/12/2022,Maternity,Tuesday,FALSE,,,0,9,39
07/12/2022,OR,Wednesday,FALSE,,,17,17,306
07/12/2022,MedSurg,Wednesday,FALSE,,,0,51,157
07/12/2022,ICU,Wednesday,FALSE,,,0,10,49
07/12/2022,Maternity,Wednesday,FALSE,,,0,8,30
08/12/2022,OR,Thursday,FALSE,,,17,17,302
08/12/2022,MedSurg,Thursday,FALSE,,,0,53,154
08/12/2022,ICU,Thursday,FALSE,,,0,10,25
08/12/2022,Maternity,Thursday,FALSE,,,0,8,25
09/12/2022,OR,Friday,FALSE,,,20,20,371
09/12/2022,MedSurg,Friday,FALSE,,,0,52,160
09/12/2022,ICU,Friday,FALSE,,,0,10,50
09/12/2022,Maternity,Friday,FALSE,,,0,8,24
10/12/2022,OR,Saturday,FALSE,,,3,3,52
10/12/2022,MedSurg,Saturday,FALSE,,,0,56,164
10/12/2022,ICU,Saturday,FALSE,,,0,11,38
10/12/2022,Maternity,Saturday,FALSE,,,0,9,40
11/12/2022,OR,Sunday,FALSE,,,6,6,103
11/12/2022,MedSurg,Sunday,FALSE,,,0,58,182
11/12/2022,ICU,Sunday,FALSE,,,0,12,43
11/12/2022,Maternity,Sunday,FALSE,,,0,9,30
12/12/2022,OR,Monday,FALSE,,,17,17,298
12/12/2022,MedSurg,Monday,FALSE,,,0,48,147
12/12/2022,ICU,Monday,FALSE,,,0,10,51
12/12/2022,Maternity,Monday,FALSE,,,0,8,31
13/12/2022,OR,Tuesday,FALSE,,,16,16,286
13/12/2022,MedSurg,Tuesday,FALSE,,,0,63,198
13/12/2022,ICU,Tuesday,FALSE,,,0,12,84
13/12/2022,Maternity,Tuesday,FALSE,,,0,10,45
14/12/2022,OR,Wednesday,FALSE,,,17,17,308
14/12/2022,MedSurg,Wednesday,FALSE,,,0,58,182
14/12/2022,ICU,Wednesday,FALSE,,,0,11,62
14/12/2022,Maternity,Wednesday,FALSE,,,0,9,43
15/12/2022,OR,Thursday,FALSE,,,19,19,347
15/12/2022,MedSurg,Thursday,FALSE,,,0,57,173
15/12/2022,ICU,Thursday,FALSE,,,0,11,58
15/12/2022,Maternity,Thursday,FALSE,,,0,9,28
16/12/2022,OR,Friday,FALSE,,,19,19,345
16/12/2022,MedSurg,Friday,FALSE,,,0,56,169
16/12/2022,ICU,Friday,FALSE,,,0,11,54
16/12/2022,Maternity,Friday,FALSE,,,0,9,22
17/12/2022,OR,Saturday,FALSE,,,5,5,77
17/12/2022,MedSurg,Saturday,FALSE,,,0,66,213
17/12/2022,ICU,Saturday,FALSE,,,0,13,58
17/12/2022,Maternity,Saturday,FALSE,,,0,11,35
18/12/2022,OR,Sunday,FALSE,,,7,7,128
18/12/2022,MedSurg,Sunday,FALSE,,,0,57,188
18/12/2022,ICU,Sunday,FALSE,,,0,11,50
18/12/2022,Maternity,Sunday,FALSE,,,0,9,41
19/12/2022,OR,Monday,FALSE,,,19,19,351
19/12/2022,MedSurg,Monday,FALSE,,,0,57,167
19/12/2022,ICU,Monday,FALSE,,,0,11,42
19/12/2022,Maternity,Monday,FALSE,,,0,9,39
20/12/2022,OR,Tuesday,FALSE,,,16,16,283
20/12/2022,MedSurg,Tuesday,FALSE,,,0,61,191
20/12/2022,ICU,Tuesday,FALSE,,,0,12,56
20/12/2022,Maternity,Tuesday,FALSE,,,0,10,32
21/12/2022,OR,Wednesday,FALSE,,,20,20,355
21/12/2022,MedSurg,Wednesday,FALSE,,,0,58,177
21/12/2022,ICU,Wednesday,FALSE,,,0,12,59
21/12/2022,Maternity,Wednesday,FALSE,,,0,9,18
22/12/2022,OR,Thursday,FALSE,,,16,16,281
22/12/2022,MedSurg,Thursday,FALSE,,,0,62,191
22/12/2022,ICU,Thursday,FALSE,,,0,13,69
22/12/2022,Maternity,Thursday,FALSE,,,0,10,31
23/12/2022,OR,Friday,FALSE,,,15,15,282
23/12/2022,MedSurg,Friday,FALSE,,,0,59,187
23/12/2022,ICU,Friday,FALSE,,,0,12,34
23/12/2022,Maternity,Friday,FALSE,,,0,9,21
24/12/2022,OR,Saturday,FALSE,,,7,7,141
24/12/2022,MedSurg,Saturday,FALSE,,,0,59,188
24/12/2022,ICU,Saturday,FALSE,,,0,12,47
24/12/2022,Maternity,Saturday,FALSE,,,0,9,32
25/12/2022,OR,Sunday,TRUE,Christmas Day,Statutory,2,2,25
25/12/2022,MedSurg,Sunday,TRUE,Christmas Day,Statutory,0,59,176
25/12/2022,ICU,Sunday,TRUE,Christmas Day,Statutory,0,13,63
25/12/2022,Maternity,Sunday,TRUE,Christmas Day,Statutory,0,9,25
26/12/2022,OR,Monday,TRUE,Boxing Day,Public,7,7,120
26/12/2022,MedSurg,Monday,TRUE,Boxing Day,Public,0,55,179
26/12/2022,ICU,Monday,TRUE,Boxing Day,Public,0,12,48
26/12/2022,Maternity,Monday,TRUE,Boxing Day,Public,0,9,32
27/12/2022,OR,Tuesday,FALSE,,,19,19,337
27/12/2022,MedSurg,Tuesday,FALSE,,,0,54,169
27/12/2022,ICU,Tuesday,FALSE,,,0,11,45
27/12/2022,Maternity,Tuesday,FALSE,,,0,9,37
28/12/2022,OR,Wednesday,FALSE,,,18,18,332
28/12/2022,MedSurg,Wednesday,FALSE,,,0,52,164
28/12/2022,ICU,Wednesday,FALSE,,,0,11,38
28/12/2022,Maternity,Wednesday,FALSE,,,0,8,28
29/12/2022,OR,Thursday,FALSE,,,19,19,345
29/12/2022,MedSurg,Thursday,FALSE,,,0,59,179
29/12/2022,ICU,Thursday,FALSE,,,0,12,59
29/12/2022,Maternity,Thursday,FALSE,,,0,9,26
30/12/2022,OR,Friday,FALSE,,,15,15,267
30/12/2022,MedSurg,Friday,FALSE,,,0,54,163
30/12/2022,ICU,Friday,FALSE,,,0,11,52
30/12/2022,Maternity,Friday,FALSE,,,0,8,25
31/12/2022,OR,Saturday,FALSE,,,5,5,74
31/12/2022,MedSurg,Saturday,FALSE,,,0,63,186
31/12/2022,ICU,Saturday,FALSE,,,0,13,55
31/12/2022,Maternity,Saturday,FALSE,,,0,10,34
01/01/2023,OR,Sunday,TRUE,New Year's Day,Statutory,1,1,21
01/01/2023,MedSurg,Sunday,TRUE,New Year's Day,Statutory,0,56,180
01/01/2023,ICU,Sunday,TRUE,New Year's Day,Statutory,0,13,69
01/01/2023,Maternity,Sunday,TRUE,New Year's Day,Statutory,0,8,17
02/01/2023,OR,Monday,FALSE,,,15,15,267
02/01/2023,MedSurg,Monday,FALSE,,,0,57,185
02/01/2023,ICU,Monday,FALSE,,,0,12,54
02/01/2023,Maternity,Monday,FALSE,,,0,9,34
03/01/2023,OR,Tuesday,FALSE,,,16,16,293
03/01/2023,MedSurg,Tuesday,FALSE,,,0,56,168
03/01/2023,ICU,Tuesday,FALSE,,,0,12,52
03/01/2023,Maternity,Tuesday,FALSE,,,0,9,35
04/01/2023,OR,Wednesday,FALSE,,,14,14,256
04/01/2023,MedSurg,Wednesday,FALSE,,,0,59,190
04/01/2023,ICU,Wednesday,FALSE,,,0,12,64
04/01/2023,Maternity,Wednesday,FALSE,,,0,9,39
05/01/2023,OR,Thursday,FALSE,,,14,14,238
05/01/2023,MedSurg,Thursday,FALSE,,,0,62,187
05/01/2023,ICU,Thursday,FALSE,,,0,13,54
05/01/2023,Maternity,Thursday,FALSE,,,0,10,47
06/01/2023,OR,Friday,FALSE,,,20,20,361
06/01/2023,MedSurg,Friday,FALSE,,,0,64,185
06/01/2023,ICU,Friday,FALSE,,,0,13,59
06/01/2023,Maternity,Friday,FALSE,,,0,10,39
07/01/2023,OR,Saturday,FALSE,,,4,4,71
07/01/2023,MedSurg,Saturday,FALSE,,,0,54,177
07/01/2023,ICU,Saturday,FALSE,,,0,11,53
07/01/2023,Maternity,Saturday,FALSE,,,0,8,39
08/01/2023,OR,Sunday,FALSE,,,8,8,154
08/01/2023,MedSurg,Sunday,FALSE,,,0,69,215
08/01/2023,ICU,Sunday,FALSE,,,0,15,64
08/01/2023,Maternity,Sunday,FALSE,,,0,11,36
09/01/2023,OR,Monday,FALSE,,,16,16,294
09/01/2023,MedSurg,Monday,FALSE,,,0,57,181
09/01/2023,ICU,Monday,FALSE,,,0,12,39
09/01/2023,Maternity,Monday,FALSE,,,0,9,50
10/01/2023,OR,Tuesday,FALSE,,,15,15,268
10/01/2023,MedSurg,Tuesday,FALSE,,,0,54,162
10/01/2023,ICU,Tuesday,FALSE,,,0,11,48
10/01/2023,Maternity,Tuesday,FALSE,,,0,8,22
11/01/2023,OR,Wednesday,FALSE,,,14,14,249
11/01/2023,MedSurg,Wednesday,FALSE,,,0,68,218
11/01/2023,ICU,Wednesday,FALSE,,,0,14,51
11/01/2023,Maternity,Wednesday,FALSE,,,0,10,34
12/01/2023,OR,Thursday,FALSE,,,18,18,328
12/01/2023,MedSurg,Thursday,FALSE,,,0,66,194
12/01/2023,ICU,Thursday,FALSE,,,0,14,65
12/01/2023,Maternity,Thursday,FALSE,,,0,10,35
13/01/2023,OR,Friday,FALSE,,,14,14,255
13/01/2023,MedSurg,Friday,FALSE,,,0,65,206
13/01/2023,ICU,Friday,FALSE,,,0,14,77
13/01/2023,Maternity,Friday,FALSE,,,0,10,37
14/01/2023,OR,Saturday,FALSE,,,4,4,64
14/01/2023,MedSurg,Saturday,FALSE,,,0,57,181
14/01/2023,ICU,Saturday,FALSE,,,0,12,51
14/01/2023,Maternity,Saturday,FALSE,,,0,9,38
15/01/2023,OR,Sunday,FALSE,,,6,6,107
15/01/2023,MedSurg,Sunday,FALSE,,,0,66,203
15/01/2023,ICU,Sunday,FALSE,,,0,14,75
15/01/2023,Maternity,Sunday,FALSE,,,0,10,34
16/01/2023,OR,Monday,FALSE,,,21,21,381
16/01/2023,MedSurg,Monday,FALSE,,,0,60,188
16/01/2023,ICU,Monday,FALSE,,,0,13,57
16/01/2023,Maternity,Monday,FALSE,,,0,9,22
17/01/2023,OR,Tuesday,FALSE,,,20,20,361
17/01/2023,MedSurg,Tuesday,FALSE,,,0,53,164
17/01/2023,ICU,Tuesday,FALSE,,,0,11,48
17/01/2023,Maternity,Tuesday,FALSE,,,0,8,31
18/01/2023,OR,Wednesday,FALSE,,,15,15,264
18/01/2023,MedSurg,Wednesday,FALSE,,,0,57,183
18/01/2023,ICU,Wednesday,FALSE,,,0,12,63
18/01/2023,Maternity,Wednesday,FALSE,,,0,9,26
19/01/2023,OR,Thursday,FALSE,,,20,20,351
19/01/2023,MedSurg,Thursday,FALSE,,,0,55,169
19/01/2023,ICU,Thursday,FALSE,,,0,12,45
19/01/2023,Maternity,Thursday,FALSE,,,0,8,40
20/01/2023,OR,Friday,FALSE,,,19,19,335
20/01/2023,MedSurg,Friday,FALSE,,,0,66,182
20/01/2023,ICU,Friday,FALSE,,,0,14,78
20/01/2023,Maternity,Friday,FALSE,,,0,10,43
21/01/2023,OR,Saturday,FALSE,,,3,3,54
21/01/2023,MedSurg,Saturday,FALSE,,,0,67,206
21/01/2023,ICU,Saturday,FALSE,,,0,14,54
21/01/2023,Maternity,Saturday,FALSE,,,0,10,41
22/01/2023,OR,Sunday,FALSE,,,7,7,117
22/01/2023,MedSurg,Sunday,FALSE,,,0,56,168
22/01/2023,ICU,Sunday,FALSE,,,0,12,47
22/01/2023,Maternity,Sunday,FALSE,,,0,8,31
23/01/2023,OR,Monday,FALSE,,,21,21,381
23/01/2023,MedSurg,Monday,FALSE,,,0,60,183
23/01/2023,ICU,Monday,FALSE,,,0,13,28
23/01/2023,Maternity,Monday,FALSE,,,0,9,23
24/01/2023,OR,Tuesday,FALSE,,,17,17,298
24/01/2023,MedSurg,Tuesday,FALSE,,,0,64,198
24/01/2023,ICU,Tuesday,FALSE,,,0,14,56
24/01/2023,Maternity,Tuesday,FALSE,,,0,10,36
25/01/2023,OR,Wednesday,FALSE,,,21,21,379
25/01/2023,MedSurg,Wednesday,FALSE,,,0,55,170
25/01/2023,ICU,Wednesday,FALSE,,,0,12,62
25/01/2023,Maternity,Wednesday,FALSE,,,0,8,32
26/01/2023,OR,Thursday,FALSE,,,21,21,376
26/01/2023,MedSurg,Thursday,FALSE,,,0,66,196
26/01/2023,ICU,Thursday,FALSE,,,0,14,80
26/01/2023,Maternity,Thursday,FALSE,,,0,10,42
27/01/2023,OR,Friday,FALSE,,,14,14,255
27/01/2023,MedSurg,Friday,FALSE,,,0,57,174
27/01/2023,ICU,Friday,FALSE,,,0,12,61
27/01/2023,Maternity,Friday,FALSE,,,0,8,39
28/01/2023,OR,Saturday,FALSE,,,8,8,133
28/01/2023,MedSurg,Saturday,FALSE,,,0,55,176
28/01/2023,ICU,Saturday,FALSE,,,0,12,60
28/01/2023,Maternity,Saturday,FALSE,,,0,8,31
29/01/2023,OR,Sunday,FALSE,,,7,7,121
29/01/2023,MedSurg,Sunday,FALSE,,,0,58,166
29/01/2023,ICU,Sunday,FALSE,,,0,13,70
29/01/2023,Maternity,Sunday,FALSE,,,0,9,38
30/01/2023,OR,Monday,FALSE,,,14,14,251
30/01/2023,MedSurg,Monday,FALSE,,,0,60,185
30/01/2023,ICU,Monday,FALSE,,,0,13,62
30/01/2023,Maternity,Monday,FALSE,,,0,9,19
31/01/2023,OR,Tuesday,FALSE,,,16,16,285
31/01/2023,MedSurg,Tuesday,FALSE,,,0,58,179
31/01/2023,ICU,Tuesday,FALSE,,,0,13,58
31/01/2023,Maternity,Tuesday,FALSE,,,0,9,29
01/02/2023,OR,Wednesday,FALSE,,,16,16,287
01/02/2023,MedSurg,Wednesday,FALSE,,,0,69,214
01/02/2023,ICU,Wednesday,FALSE,,,0,15,72
01/02/2023,Maternity,Wednesday,FALSE,,,0,10,43
02/02/2023,OR,Thursday,FALSE,,,15,15,262
02/02/2023,MedSurg,Thursday,FALSE,,,0,62,196
02/02/2023,ICU,Thursday,FALSE,,,0,14,78
02/02/2023,Maternity,Thursday,FALSE,,,0,9,38
03/02/2023,OR,Friday,FALSE,,,17,17,318
03/02/2023,MedSurg,Friday,FALSE,,,0,55,170
03/02/2023,ICU,Friday,FALSE,,,0,12,58
03/02/2023,Maternity,Friday,FALSE,,,0,8,20
04/02/2023,OR,Saturday,FALSE,,,7,7,123
04/02/2023,MedSurg,Saturday,FALSE,,,0,64,191
04/02/2023,ICU,Saturday,FALSE,,,0,14,57
04/02/2023,Maternity,Saturday,FALSE,,,0,9,40
05/02/2023,OR,Sunday,FALSE,,,6,6,108
05/02/2023,MedSurg,Sunday,FALSE,,,0,55,156
05/02/2023,ICU,Sunday,FALSE,,,0,12,53
05/02/2023,Maternity,Sunday,FALSE,,,0,8,29
06/02/2023,OR,Monday,FALSE,,,20,20,368
06/02/2023,MedSurg,Monday,FALSE,,,0,71,219
06/02/2023,ICU,Monday,FALSE,,,0,15,67
06/02/2023,Maternity,Monday,FALSE,,,0,10,33
07/02/2023,OR,Tuesday,FALSE,,,15,15,271
07/02/2023,MedSurg,Tuesday,FALSE,,,0,57,170
07/02/2023,ICU,Tuesday,FALSE,,,0,12,63
07/02/2023,Maternity,Tuesday,FALSE,,,0,8,19
08/02/2023,OR,Wednesday,FALSE,,,19,19,338
08/02/2023,MedSurg,Wednesday,FALSE,,,0,61,184
08/02/2023,ICU,Wednesday,FALSE,,,0,13,48
08/02/2023,Maternity,Wednesday,FALSE,,,0,9,37
09/02/2023,OR,Thursday,FALSE,,,19,19,337
09/02/2023,MedSurg,Thursday,FALSE,,,0,64,198
09/02/2023,ICU,Thursday,FALSE,,,0,14,59
09/02/2023,Maternity,Thursday,FALSE,,,0,9,32
10/02/2023,OR,Friday,FALSE,,,16,16,294
10/02/2023,MedSurg,Friday,FALSE,,,0,59,191
10/02/2023,ICU,Friday,FALSE,,,0,13,61
10/02/2023,Maternity,Friday,FALSE,,,0,9,33
11/02/2023,OR,Saturday,FALSE,,,3,3,56
11/02/2023,MedSurg,Saturday,FALSE,,,0,59,184
11/02/2023,ICU,Saturday,FALSE,,,0,13,64
11/02/2023,Maternity,Saturday,FALSE,,,0,9,20
12/02/2023,OR,Sunday,FALSE,,,7,7,129
12/02/2023,MedSurg,Sunday,FALSE,,,0,65,208
12/02/2023,ICU,Sunday,FALSE,,,0,14,63
12/02/2023,Maternity,Sunday,FALSE,,,0,9,38
13/02/2023,OR,Monday,FALSE,,,19,19,356
13/02/2023,MedSurg,Monday,FALSE,,,0,55,169
13/02/2023,ICU,Monday,FALSE,,,0,12,44
13/02/2023,Maternity,Monday,FALSE,,,0,8,33
14/02/2023,OR,Tuesday,FALSE,,,19,19,344
14/02/2023,MedSurg,Tuesday,FALSE,,,0,69,209
14/02/2023,ICU,Tuesday,FALSE,,,0,15,65
14/02/2023,Maternity,Tuesday,FALSE,,,0,10,27
15/02/2023,OR,Wednesday,FALSE,,,19,19,334
15/02/2023,MedSurg,Wednesday,FALSE,,,0,57,169
15/02/2023,ICU,Wednesday,FALSE,,,0,13,59
15/02/2023,Maternity,Wednesday,FALSE,,,0,8,31
16/02/2023,OR,Thursday,FALSE,,,15,15,262
16/02/2023,MedSurg,Thursday,FALSE,,,0,57,190
16/02/2023,ICU,Thursday,FALSE,,,0,13,49
16/02/2023,Maternity,Thursday,FALSE,,,0,8,35
17/02/2023,OR,Friday,FALSE,,,20,20,349
17/02/2023,MedSurg,Friday,FALSE,,,0,63,196
17/02/2023,ICU,Friday,FALSE,,,0,14,50
17/02/2023,Maternity,Friday,FALSE,,,0,9,37
18/02/2023,OR,Saturday,FALSE,,,8,8,143
18/02/2023,MedSurg,Saturday,FALSE,,,0,53,164
18/02/2023,ICU,Saturday,FALSE,,,0,12,67
18/02/2023,Maternity,Saturday,FALSE,,,0,8,36
19/02/2023,OR,Sunday,FALSE,,,6,6,109
19/02/2023,MedSurg,Sunday,FALSE,,,0,64,202
19/02/2023,ICU,Sunday,FALSE,,,0,14,70
19/02/2023,Maternity,Sunday,FALSE,,,0,9,35
20/02/2023,OR,Monday,TRUE,Family Day,Statutory,5,5,98
20/02/2023,MedSurg,Monday,TRUE,Family Day,Statutory,0,56,180
20/02/2023,ICU,Monday,TRUE,Family Day,Statutory,0,13,68
20/02/2023,Maternity,Monday,TRUE,Family Day,Statutory,0,8,25
21/02/2023,OR,Tuesday,FALSE,,,14,14,238
21/02/2023,MedSurg,Tuesday,FALSE,,,0,66,206
21/02/2023,ICU,Tuesday,FALSE,,,0,15,72
21/02/2023,Maternity,Tuesday,FALSE,,,0,10,24
22/02/2023,OR,Wednesday,FALSE,,,18,18,319
22/02/2023,MedSurg,Wednesday,FALSE,,,0,64,180
22/02/2023,ICU,Wednesday,FALSE,,,0,14,64
22/02/2023,Maternity,Wednesday,FALSE,,,0,9,36
23/02/2023,OR,Thursday,FALSE,,,19,19,343
23/02/2023,MedSurg,Thursday,FALSE,,,0,69,213
23/02/2023,ICU,Thursday,FALSE,,,0,15,64
23/02/2023,Maternity,Thursday,FALSE,,,0,10,26
24/02/2023,OR,Friday,FALSE,,,21,21,377
24/02/2023,MedSurg,Friday,FALSE,,,0,60,162
24/02/2023,ICU,Friday,FALSE,,,0,13,68
24/02/2023,Maternity,Friday,FALSE,,,0,9,35
25/02/2023,OR,Saturday,FALSE,,,4,4,77
25/02/2023,MedSurg,Saturday,FALSE,,,0,69,212
25/02/2023,ICU,Saturday,FALSE,,,0,15,61
25/02/2023,Maternity,Saturday,FALSE,,,0,10,32
26/02/2023,OR,Sunday,FALSE,,,4,4,81
26/02/2023,MedSurg,Sunday,FALSE,,,0,65,204
26/02/2023,ICU,Sunday,FALSE,,,0,14,77
26/02/2023,Maternity,Sunday,FALSE,,,0,9,24
27/02/2023,OR,Monday,FALSE,,,19,19,343
27/02/2023,MedSurg,Monday,FALSE,,,0,63,197
27/02/2023,ICU,Monday,FALSE,,,0,14,59
27/02/2023,Maternity,Monday,FALSE,,,0,9,41
28/02/2023,OR,Tuesday,FALSE,,,16,16,287
28/02/2023,MedSurg,Tuesday,FALSE,,,0,66,220
28/02/2023,ICU,Tuesday,FALSE,,,0,15,71
28/02/2023,Maternity,Tuesday,FALSE,,,0,9,40
01/03/2023,OR,Wednesday,FALSE,,,18,18,327
01/03/2023,MedSurg,Wednesday,FALSE,,,0,61,180
01/03/2023,ICU,Wednesday,FALSE,,,0,13,62
01/03/2023,Maternity,Wednesday,FALSE,,,0,9,31
02/03/2023,OR,Thursday,FALSE,,,20,20,354
02/03/2023,MedSurg,Thursday,FALSE,,,0,62,191
02/03/2023,ICU,Thursday,FALSE,,,0,14,69
02/03/2023,Maternity,Thursday,FALSE,,,0,9,30
03/03/2023,OR,Friday,FALSE,,,14,14,248
03/03/2023,MedSurg,Friday,FALSE,,,0,63,198
03/03/2023,ICU,Friday,FALSE,,,0,14,69
03/03/2023,Maternity,Friday,FALSE,,,0,9,34
04/03/2023,OR,Saturday,FALSE,,,6,6,91
04/03/2023,MedSurg,Saturday,FALSE,,,0,67,214
04/03/2023,ICU,Saturday,FALSE,,,0,15,78
04/03/2023,Maternity,Saturday,FALSE,,,0,9,29
05/03/2023,OR,Sunday,FALSE,,,8,8,139
05/03/2023,MedSurg,Sunday,FALSE,,,0,65,217
05/03/2023,ICU,Sunday,FALSE,,,0,14,50
05/03/2023,Maternity,Sunday,FALSE,,,0,9,25
06/03/2023,OR,Monday,FALSE,,,15,15,256
06/03/2023,MedSurg,Monday,FALSE,,,0,55,166
06/03/2023,ICU,Monday,FALSE,,,0,12,48
06/03/2023,Maternity,Monday,FALSE,,,0,8,16
07/03/2023,OR,Tuesday,FALSE,,,19,19,342
07/03/2023,MedSurg,Tuesday,FALSE,,,0,73,207
07/03/2023,ICU,Tuesday,FALSE,,,0,16,76
07/03/2023,Maternity,Tuesday,FALSE,,,0,10,36
08/03/2023,OR,Wednesday,FALSE,,,17,17,303
08/03/2023,MedSurg,Wednesday,FALSE,,,0,75,236
08/03/2023,ICU,Wednesday,FALSE,,,0,16,82
08/03/2023,Maternity,Wednesday,FALSE,,,0,11,39
09/03/2023,OR,Thursday,FALSE,,,19,19,341
09/03/2023,MedSurg,Thursday,FALSE,,,0,63,191
09/03/2023,ICU,Thursday,FALSE,,,0,14,51
09/03/2023,Maternity,Thursday,FALSE,,,0,9,22
10/03/2023,OR,Friday,FALSE,,,20,20,350
10/03/2023,MedSurg,Friday,FALSE,,,0,70,208
10/03/2023,ICU,Friday,FALSE,,,0,15,77
10/03/2023,Maternity,Friday,FALSE,,,0,10,33
11/03/2023,OR,Saturday,FALSE,,,4,4,69
11/03/2023,MedSurg,Saturday,FALSE,,,0,69,200
11/03/2023,ICU,Saturday,FALSE,,,0,15,83
11/03/2023,Maternity,Saturday,FALSE,,,0,10,37
12/03/2023,OR,Sunday,FALSE,,,4,4,74
12/03/2023,MedSurg,Sunday,FALSE,,,0,64,207
12/03/2023,ICU,Sunday,FALSE,,,0,14,66
12/03/2023,Maternity,Sunday,FALSE,,,0,9,36
13/03/2023,OR,Monday,FALSE,,,21,21,365
13/03/2023,MedSurg,Monday,FALSE,,,0,65,199
13/03/2023,ICU,Monday,FALSE,,,0,14,56
13/03/2023,Maternity,Monday,FALSE,,,0,9,18
14/03/2023,OR,Tuesday,FALSE,,,15,15,268
14/03/2023,MedSurg,Tuesday,FALSE,,,0,72,228
14/03/2023,ICU,Tuesday,FALSE,,,0,16,68
14/03/2023,Maternity,Tuesday,FALSE,,,0,10,32
15/03/2023,OR,Wednesday,FALSE,,,15,15,276
15/03/2023,MedSurg,Wednesday,FALSE,,,0,58,171
15/03/2023,ICU,Wednesday,FALSE,,,0,13,44
15/03/2023,Maternity,Wednesday,FALSE,,,0,8,31
16/03/2023,OR,Thursday,FALSE,,,17,17,300
16/03/2023,MedSurg,Thursday,FALSE,,,0,71,212
16/03/2023,ICU,Thursday,FALSE,,,0,15,63
16/03/2023,Maternity,Thursday,FALSE,,,0,10,36
17/03/2023,OR,Friday,FALSE,,,19,19,350
17/03/2023,MedSurg,Friday,FALSE,,,0,73,229
17/03/2023,ICU,Friday,FALSE,,,0,16,80
17/03/2023,Maternity,Friday,FALSE,,,0,10,40
18/03/2023,OR,Saturday,FALSE,,,5,5,86
18/03/2023,MedSurg,Saturday,FALSE,,,0,64,195
18/03/2023,ICU,Saturday,FALSE,,,0,14,49
18/03/2023,Maternity,Saturday,FALSE,,,0,9,33
19/03/2023,OR,Sunday,FALSE,,,6,6,103
19/03/2023,MedSurg,Sunday,FALSE,,,0,74,241
19/03/2023,ICU,Sunday,FALSE,,,0,16,69
19/03/2023,Maternity,Sunday,FALSE,,,0,10,43
20/03/2023,OR,Monday,FALSE,,,16,16,287
20/03/2023,MedSurg,Monday,FALSE,,,0,71,221
20/03/2023,ICU,Monday,FALSE,,,0,15,50
20/03/2023,Maternity,Monday,FALSE,,,0,10,35
21/03/2023,OR,Tuesday,FALSE,,,16,16,290
21/03/2023,MedSurg,Tuesday,FALSE,,,0,73,224
21/03/2023,ICU,Tuesday,FALSE,,,0,16,66
21/03/2023,Maternity,Tuesday,FALSE,,,0,10,39
22/03/2023,OR,Wednesday,FALSE,,,18,18,314
22/03/2023,MedSurg,Wednesday,FALSE,,,0,66,199
22/03/2023,ICU,Wednesday,FALSE,,,0,14,63
22/03/2023,Maternity,Wednesday,FALSE,,,0,9,39
23/03/2023,OR,Thursday,FALSE,,,17,17,306
